entity:AFI_id	run_id	sample_type	read1	read2
00126_S6_L001	3	CLINICAL	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/00126_S6_L001_R1_001.fastq.gz	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/00126_S6_L001_R2_001.fastq.gz
00277_S4_L001	3	CLINICAL	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/00277_S4_L001_R1_001.fastq.gz	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/00277_S4_L001_R2_001.fastq.gz
003691_S11_L001			gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/003691_S11_L001_R1_001.fastq.gz	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/003691_S11_L001_R2_001.fastq.gz
00369_S1_L001	3	CLINICAL	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/00369_S1_L001_R1_001.fastq.gz	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/00369_S1_L001_R2_001.fastq.gz
00389_S5_L001	3	CLINICAL	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/00389_S5_L001_R1_001.fastq.gz	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/00389_S5_L001_R2_001.fastq.gz
00428_S8_L001	3	CLINICAL	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/00428_S8_L001_R1_001.fastq.gz	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/00428_S8_L001_R2_001.fastq.gz
00618_S7_L001	3	CLINICAL	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/00618_S7_L001_R1_001.fastq.gz	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/00618_S7_L001_R2_001.fastq.gz
019371_S12_L001			gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/019371_S12_L001_R1_001.fastq.gz	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/019371_S12_L001_R2_001.fastq.gz
01937_S2_L001	3	CLINICAL	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/01937_S2_L001_R1_001.fastq.gz	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/01937_S2_L001_R2_001.fastq.gz
027571_S13_L001			gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/027571_S13_L001_R1_001.fastq.gz	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/027571_S13_L001_R2_001.fastq.gz
02757_S3_L001	3	CLINICAL	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/02757_S3_L001_R1_001.fastq.gz	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/02757_S3_L001_R2_001.fastq.gz
09002165_S3_L001	4	CLINICAL	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/09002165_S3_L001_R1_001.fastq.gz	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/09002165_S3_L001_R2_001.fastq.gz
09102966_S1_L001	5	CLINICAL	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/09102966_S1_L001_R1_001.fastq.gz	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/09102966_S1_L001_R2_001.fastq.gz
09202659_S12_L001	5	CLINICAL	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/09202659_S12_L001_R1_001.fastq.gz	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/09202659_S12_L001_R2_001.fastq.gz
09300546_S4_L001	4	CLINICAL	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/09300546_S4_L001_R1_001.fastq.gz	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/09300546_S4_L001_R2_001.fastq.gz
09302710_S2_L001	4	CLINICAL	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/09302710_S2_L001_R1_001.fastq.gz	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/09302710_S2_L001_R2_001.fastq.gz
09302890_S5_L001	4	CLINICAL	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/09302890_S5_L001_R1_001.fastq.gz	gs://fc-36ebdf16-bf31-4fef-9963-fc780c8f7367/uploads/AFI/09302890_S5_L001_R2_001.fastq.gz
