sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
25200330_S4_L001	Orientia	alignment	46	0.1881	1644	Negative	0	false	false
25200330_S4_L001	Rickettsia	alignment	4141	0.2075	163744	Not_Confirmed	0	false	false
25200330_S4_L001	Acetivibrio	centrifuge	1		2	Not_Detected			
25200330_S4_L001	Achromobacter	centrifuge	2		0	Not_Detected			
25200330_S4_L001	Acidovorax	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Algihabitans	centrifuge	21		0	Not_Detected			
25200330_S4_L001	Amaricoccus	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Arabiibacter	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Asticcacaulis	centrifuge	1		7	Not_Detected			
25200330_S4_L001	Bacillus	centrifuge	2		0	Not_Detected			
25200330_S4_L001	Bacteroides	centrifuge	7		0	Not_Detected			
25200330_S4_L001	Bifidobacterium	centrifuge	14		0	Not_Detected			
25200330_S4_L001	Blattabacterium	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Bradyrhizobium	centrifuge	1		3	Not_Detected			
25200330_S4_L001	Bremerella	centrifuge	2		0	Not_Detected			
25200330_S4_L001	Brevundimonas	centrifuge	2058		138576	Not_Detected			
25200330_S4_L001	Buchnera	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Burkholderia	centrifuge	2		1	Not_Detected			
25200330_S4_L001	Caballeronia	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Caulobacter	centrifuge	53		3916	Not_Detected			
25200330_S4_L001	Citrobacter	centrifuge	11		0	Not_Detected			
25200330_S4_L001	Coxiella	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Cronobacter	centrifuge	2		0	Not_Detected			
25200330_S4_L001	Cutibacterium	centrifuge	745		0	Detected			
25200330_S4_L001	Dactylosporangium	centrifuge	2		0	Not_Detected			
25200330_S4_L001	Deinococcus	centrifuge	22		1	Not_Detected			
25200330_S4_L001	Desulfatibacillum	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Dickeya	centrifuge	4		3	Not_Detected			
25200330_S4_L001	Dissulfuribacter	centrifuge	10		0	Not_Detected			
25200330_S4_L001	Enterobacter	centrifuge	22		0	Not_Detected			
25200330_S4_L001	Enterococcus	centrifuge	2		0	Not_Detected			
25200330_S4_L001	Erwinia	centrifuge	4		0	Not_Detected			
25200330_S4_L001	Escherichia	centrifuge	4490		1	Detected			
25200330_S4_L001	Fimbriimonas	centrifuge	49		0	Not_Detected			
25200330_S4_L001	Fontivita	centrifuge	44		0	Not_Detected			
25200330_S4_L001	Gemmata	centrifuge	857		0	Detected			
25200330_S4_L001	Gordonia	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Ketogulonicigenium	centrifuge	6		0	Not_Detected			
25200330_S4_L001	Klebsiella	centrifuge	26		0	Not_Detected			
25200330_S4_L001	Kocuria	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Kosakonia	centrifuge	2		0	Not_Detected			
25200330_S4_L001	Kytococcus	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Legionella	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Leisingera	centrifuge	21		0	Not_Detected			
25200330_S4_L001	Leptospira	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Limimaricola	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Limnoglobus	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Limosilactobacillus	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Mariluticola	centrifuge	1		14	Not_Detected			
25200330_S4_L001	Massilia	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Microbacterium	centrifuge	5		0	Not_Detected			
25200330_S4_L001	Morganella	centrifuge	2		0	Not_Detected			
25200330_S4_L001	Mycobacterium	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Mycolicibacterium	centrifuge	15		0	Not_Detected			
25200330_S4_L001	Mycoplasma	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Mycoplasmopsis	centrifuge	34		93	Not_Detected			
25200330_S4_L001	Natrinema	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Nitratireductor	centrifuge	1		728	Not_Detected			
25200330_S4_L001	Obesumbacterium	centrifuge	2		0	Not_Detected			
25200330_S4_L001	Pantoea	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Paraprevotella	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Parascardovia	centrifuge	58		0	Not_Detected			
25200330_S4_L001	Pengzhenrongella	centrifuge	3		0	Not_Detected			
25200330_S4_L001	Phenylobacterium	centrifuge	2		376	Not_Detected			
25200330_S4_L001	Phocaeicola	centrifuge	42		0	Not_Detected			
25200330_S4_L001	Plantactinospora	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Pontivivens	centrifuge	18		0	Not_Detected			
25200330_S4_L001	Porphyromonas	centrifuge	208		0	Not_Detected			
25200330_S4_L001	Prevotella	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Proteus	centrifuge	1		1	Not_Detected			
25200330_S4_L001	Pseudomonas	centrifuge	2		2	Not_Detected			
25200330_S4_L001	Pseudoprevotella	centrifuge	6		0	Not_Detected			
25200330_S4_L001	Rhodovulum	centrifuge	2		0	Not_Detected			
25200330_S4_L001	Roseburia	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Ruegeria	centrifuge	1039		0	Detected			
25200330_S4_L001	Salmonella	centrifuge	3		0	Not_Detected			
25200330_S4_L001	Shigella	centrifuge	80		0	Not_Detected			
25200330_S4_L001	Sphaerobacter	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Sphingomonas	centrifuge	1		78	Not_Detected			
25200330_S4_L001	Staphylococcus	centrifuge	759		0	Detected			
25200330_S4_L001	Streptococcus	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Streptomyces	centrifuge	18		17	Not_Detected			
25200330_S4_L001	Sulfolobus	centrifuge	1		0	Not_Detected			
25200330_S4_L001	Thermomicrobium	centrifuge	397		0	Not_Detected			
25200330_S4_L001	Thermosulfidibacter	centrifuge	1		0	Not_Detected			
