sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
NTC11_S11_L001	Orientia	alignment	1644	0.2962	1644	Not_Confirmed	0	false	true
NTC11_S11_L001	Rickettsia	alignment	163744	0.3226	163744	Not_Confirmed	1	false	true
NTC11_S11_L001	Acaryochloris	centrifuge	10		10	Not_Detected			
NTC11_S11_L001	Acetivibrio	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Acidisoma	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Acinetobacter	centrifuge	4		4	Not_Detected			
NTC11_S11_L001	Acuticoccus	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Aequoribacter	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Aerosticca	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Agrobacterium	centrifuge	18		18	Not_Detected			
NTC11_S11_L001	Aminobacter	centrifuge	7270		7270	Not_Detected			
NTC11_S11_L001	Anaplasma	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Anderseniella	centrifuge	8		8	Not_Detected			
NTC11_S11_L001	Antarcticirhabdus	centrifuge	23		23	Not_Detected			
NTC11_S11_L001	Aquibium	centrifuge	537		537	Not_Detected			
NTC11_S11_L001	Asticcacaulis	centrifuge	7		7	Not_Detected			
NTC11_S11_L001	Aureimonas	centrifuge	27		27	Not_Detected			
NTC11_S11_L001	Azospirillum	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Bartonella	centrifuge	249		249	Not_Detected			
NTC11_S11_L001	Bradyrhizobium	centrifuge	3		3	Not_Detected			
NTC11_S11_L001	Brevundimonas	centrifuge	138576		138576	Not_Detected			
NTC11_S11_L001	Brucella	centrifuge	133143		133143	Not_Detected			
NTC11_S11_L001	Burkholderia	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Calditerrivibrio	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Candidatus_Endolissoclinum	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Candidatus_Endowatersipora	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Candidatus_Levibacter	centrifuge	6		6	Not_Detected			
NTC11_S11_L001	Candidatus_Nitrosacidococcus	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Candidatus_Phaeomarinibacter	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Candidatus_Ponderosibacter	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Candidatus_Puniceispirillum	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Candidatus_Spongiihabitans	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Candidatus_Viadribacter	centrifuge	4		4	Not_Detected			
NTC11_S11_L001	Carbonactinospora	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Caulobacter	centrifuge	3916		3916	Not_Detected			
NTC11_S11_L001	Chelativorans	centrifuge	16		16	Not_Detected			
NTC11_S11_L001	Chelatococcus	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Chenggangzhangella	centrifuge	5		5	Not_Detected			
NTC11_S11_L001	Ciceribacter	centrifuge	17		17	Not_Detected			
NTC11_S11_L001	Clostridium	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Cognatishimia	centrifuge	108		108	Not_Detected			
NTC11_S11_L001	Coralliovum	centrifuge	109		109	Not_Detected			
NTC11_S11_L001	Croceibacterium	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Curtobacterium	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Deinococcus	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Devosia	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Dickeya	centrifuge	3		3	Not_Detected			
NTC11_S11_L001	Dyella	centrifuge	4		4	Not_Detected			
NTC11_S11_L001	Ensifer	centrifuge	252		252	Not_Detected			
NTC11_S11_L001	Escherichia	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Faucicola	centrifuge	6888		6888	Not_Detected			
NTC11_S11_L001	Fretibacter	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Gallaecimonas	centrifuge	6		6	Not_Detected			
NTC11_S11_L001	Gloeobacter	centrifuge	3		3	Not_Detected			
NTC11_S11_L001	Halothiobacillus	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Hoeflea	centrifuge	27167		27167	Not_Detected			
NTC11_S11_L001	Hyphobacterium	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Hyphomicrobium	centrifuge	3		3	Not_Detected			
NTC11_S11_L001	Hyphomonas	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Labrenzia	centrifuge	6		6	Not_Detected			
NTC11_S11_L001	Lactonifactor	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Lentilitoribacter	centrifuge	6		6	Not_Detected			
NTC11_S11_L001	Liberibacter	centrifuge	5		5	Not_Detected			
NTC11_S11_L001	Litorimonas	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Maricaulis	centrifuge	4		4	Not_Detected			
NTC11_S11_L001	Mariluticola	centrifuge	14		14	Not_Detected			
NTC11_S11_L001	Marinomonas	centrifuge	4		4	Not_Detected			
NTC11_S11_L001	Marinospirillum	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Mesorhizobium	centrifuge	12491		12491	Not_Detected			
NTC11_S11_L001	Methylobacterium	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Methylococcus	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Methylocystis	centrifuge	5		5	Not_Detected			
NTC11_S11_L001	Methyloligella	centrifuge	9		9	Not_Detected			
NTC11_S11_L001	Methylomonas	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Methylophaga	centrifuge	3		3	Not_Detected			
NTC11_S11_L001	Methylotuvimicrobium	centrifuge	3		3	Not_Detected			
NTC11_S11_L001	Micavibrio	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Microbulbifer	centrifuge	3		3	Not_Detected			
NTC11_S11_L001	Microcystis	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Moraxella	centrifuge	12		12	Not_Detected			
NTC11_S11_L001	Mycoplasmopsis	centrifuge	93		93	Not_Detected			
NTC11_S11_L001	Neorhizobium	centrifuge	4		4	Not_Detected			
NTC11_S11_L001	Nitratireductor	centrifuge	728		728	Not_Detected			
NTC11_S11_L001	Ochrobactrum	centrifuge	2520		2520	Not_Detected			
NTC11_S11_L001	Oricola	centrifuge	11		11	Not_Detected			
NTC11_S11_L001	Paenibacillus	centrifuge	4		4	Not_Detected			
NTC11_S11_L001	Pararhizobium	centrifuge	30		30	Not_Detected			
NTC11_S11_L001	Parathermosynechococcus	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Parvularcula	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Pelagibacterium	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Peteryoungia	centrifuge	3		3	Not_Detected			
NTC11_S11_L001	Petrotoga	centrifuge	3		3	Not_Detected			
NTC11_S11_L001	Phenylobacterium	centrifuge	376		376	Not_Detected			
NTC11_S11_L001	Phyllobacterium	centrifuge	1184		1184	Not_Detected			
NTC11_S11_L001	Planktothrix	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Pokkaliibacter	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Polymorphobacter	centrifuge	13		13	Not_Detected			
NTC11_S11_L001	Proteus	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Providencia	centrifuge	5		5	Not_Detected			
NTC11_S11_L001	Pseudoalteromonas	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Pseudochrobactrum	centrifuge	2409		2409	Not_Detected			
NTC11_S11_L001	Pseudomonas	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Psychrobacter	centrifuge	3		3	Not_Detected			
NTC11_S11_L001	Pyruvatibacter	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Radicibacter	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Rhizobium	centrifuge	6979		6979	Not_Detected			
NTC11_S11_L001	Rhizorhabdus	centrifuge	60		60	Not_Detected			
NTC11_S11_L001	Rhodanobacter	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Rhodoligotrophos	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Roseibium	centrifuge	29		29	Not_Detected			
NTC11_S11_L001	Roseovarius	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Rugositalea	centrifuge	5		5	Not_Detected			
NTC11_S11_L001	Salaquimonas	centrifuge	20		20	Not_Detected			
NTC11_S11_L001	Salinilacustrithrix	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Salinimonas	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Shewanella	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Shinella	centrifuge	179		179	Not_Detected			
NTC11_S11_L001	Sinorhizobium	centrifuge	2565		2565	Not_Detected			
NTC11_S11_L001	Sphingomonas	centrifuge	78		78	Not_Detected			
NTC11_S11_L001	Stappia	centrifuge	86		86	Not_Detected			
NTC11_S11_L001	Streptomyces	centrifuge	17		17	Not_Detected			
NTC11_S11_L001	Tabrizicola	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Temperatibacter	centrifuge	4		4	Not_Detected			
NTC11_S11_L001	Terribium	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Terrihabitans	centrifuge	425		425	Not_Detected			
NTC11_S11_L001	Terrirhizobium	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Thalassomonas	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Thalassospira	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Thermochromatium	centrifuge	2		2	Not_Detected			
NTC11_S11_L001	Thermomonas	centrifuge	3		3	Not_Detected			
NTC11_S11_L001	Tsuneonella	centrifuge	33		33	Not_Detected			
NTC11_S11_L001	Vreelandella	centrifuge	35		35	Not_Detected			
NTC11_S11_L001	Wolbachia	centrifuge	5		5	Not_Detected			
NTC11_S11_L001	Xanthobacter	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Xanthomonas	centrifuge	3		3	Not_Detected			
NTC11_S11_L001	Zymobacter	centrifuge	1		1	Not_Detected			
NTC11_S11_L001	Zymomonas	centrifuge	2		2	Not_Detected			
