sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
PC13_S12_L001	Orientia	alignment	68781	0.1888	1644	Negative	0	false	false
PC13_S12_L001	Rickettsia	alignment	116148	0.2129	163744	Not_Confirmed	0	false	false
PC13_S12_L001	Abyssicoccus	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Allobacillus	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Aneurinibacillus	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Aquipseudomonas	centrifuge	3		0	Not_Detected			
PC13_S12_L001	Bacillus	centrifuge	50302		0	Detected			
PC13_S12_L001	Cellvibrio	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Citrobacter	centrifuge	156		0	Not_Detected			
PC13_S12_L001	Cronobacter	centrifuge	14		0	Not_Detected			
PC13_S12_L001	Cytobacillus	centrifuge	3		0	Not_Detected			
PC13_S12_L001	Desemzia	centrifuge	4		0	Not_Detected			
PC13_S12_L001	Ectopseudomonas	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Enterobacter	centrifuge	46		0	Not_Detected			
PC13_S12_L001	Enterococcus	centrifuge	25452		0	Detected			
PC13_S12_L001	Erwinia	centrifuge	16		0	Not_Detected			
PC13_S12_L001	Escherichia	centrifuge	8591		1	Detected			
PC13_S12_L001	Floricoccus	centrifuge	2		0	Not_Detected			
PC13_S12_L001	Franconibacter	centrifuge	4		0	Not_Detected			
PC13_S12_L001	Guptibacillus	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Halalkalibacter	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Halopseudomonas	centrifuge	2		0	Not_Detected			
PC13_S12_L001	Heyndrickxia	centrifuge	3		0	Not_Detected			
PC13_S12_L001	Klebsiella	centrifuge	56		0	Not_Detected			
PC13_S12_L001	Lactobacillus	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Leclercia	centrifuge	57		0	Not_Detected			
PC13_S12_L001	Lederbergia	centrifuge	15		0	Not_Detected			
PC13_S12_L001	Lelliottia	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Lentibacillus	centrifuge	6		0	Not_Detected			
PC13_S12_L001	Limnobacter	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Limosilactobacillus	centrifuge	40094		0	Detected			
PC13_S12_L001	Listeria	centrifuge	44408		0	Detected			
PC13_S12_L001	Mammaliicoccus	centrifuge	12		0	Not_Detected			
PC13_S12_L001	Metabacillus	centrifuge	6		0	Not_Detected			
PC13_S12_L001	Metapseudomonas	centrifuge	5		0	Not_Detected			
PC13_S12_L001	Morganella	centrifuge	2		0	Not_Detected			
PC13_S12_L001	Mycobacteroides	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Niallia	centrifuge	3		0	Not_Detected			
PC13_S12_L001	Nosocomiicoccus	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Oceanobacillus	centrifuge	3		0	Not_Detected			
PC13_S12_L001	Paenibacillus	centrifuge	79		4	Not_Detected			
PC13_S12_L001	Paenilisteria	centrifuge	6		0	Not_Detected			
PC13_S12_L001	Pantoea	centrifuge	3		0	Not_Detected			
PC13_S12_L001	Paucilactobacillus	centrifuge	2		0	Not_Detected			
PC13_S12_L001	Peribacillus	centrifuge	3		0	Not_Detected			
PC13_S12_L001	Pluralibacter	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Priestia	centrifuge	13		0	Not_Detected			
PC13_S12_L001	Pseudomonas	centrifuge	9358		2	Detected			
PC13_S12_L001	Rossellomorea	centrifuge	21		0	Not_Detected			
PC13_S12_L001	Salimicrobium	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Salinicoccus	centrifuge	3		0	Not_Detected			
PC13_S12_L001	Salmonella	centrifuge	15318		0	Detected			
PC13_S12_L001	Scandinavium	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Schinkia	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Shigella	centrifuge	159		0	Not_Detected			
PC13_S12_L001	Shouchella	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Sinorhizobium	centrifuge	1		2565	Not_Detected			
PC13_S12_L001	Staphylococcus	centrifuge	61977		0	Detected			
PC13_S12_L001	Streptococcus	centrifuge	2		0	Not_Detected			
PC13_S12_L001	Stutzerimonas	centrifuge	8		0	Not_Detected			
PC13_S12_L001	Sulfobacillus	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Superficieibacter	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Tatumella	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Tetragenococcus	centrifuge	4		0	Not_Detected			
PC13_S12_L001	Trabulsiella	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Vagococcus	centrifuge	1		0	Not_Detected			
PC13_S12_L001	Vibrio	centrifuge	3		0	Not_Detected			
PC13_S12_L001	Virgibacillus	centrifuge	12		0	Not_Detected			
PC13_S12_L001	Weissella	centrifuge	1		0	Not_Detected			
