sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
NTC_run_1_S11_L001	Orientia	alignment	153624	0.2869	153624	Not_Confirmed	1	false	true
NTC_run_1_S11_L001	Rickettsia	alignment	513657	0.3226	513657	Not_Confirmed	3	false	true
NTC_run_1_S11_L001	Acetivibrio	centrifuge	6		6	Not_Detected			
NTC_run_1_S11_L001	Acetobacter	centrifuge	1		1	Not_Detected			
NTC_run_1_S11_L001	Acidihalobacter	centrifuge	11		11	Not_Detected			
NTC_run_1_S11_L001	Acidimicrobium	centrifuge	2		2	Not_Detected			
NTC_run_1_S11_L001	Acidipropionibacterium	centrifuge	9		9	Not_Detected			
NTC_run_1_S11_L001	Acinetobacter	centrifuge	5		5	Not_Detected			
NTC_run_1_S11_L001	Actinokineospora	centrifuge	1		1	Not_Detected			
NTC_run_1_S11_L001	Actinosynnema	centrifuge	6673		6673	Not_Detected			
NTC_run_1_S11_L001	Aequoribacter	centrifuge	16		16	Not_Detected			
NTC_run_1_S11_L001	Aeromicrobium	centrifuge	3		3	Not_Detected			
NTC_run_1_S11_L001	Afifella	centrifuge	2		2	Not_Detected			
NTC_run_1_S11_L001	Agrococcus	centrifuge	3		3	Not_Detected			
NTC_run_1_S11_L001	Agromyces	centrifuge	4		4	Not_Detected			
NTC_run_1_S11_L001	Allobranchiibius	centrifuge	5		5	Not_Detected			
NTC_run_1_S11_L001	Allosphingosinicella	centrifuge	4		4	Not_Detected			
NTC_run_1_S11_L001	Alterirhizorhabdus	centrifuge	10		10	Not_Detected			
NTC_run_1_S11_L001	Alteromonas	centrifuge	1		1	Not_Detected			
NTC_run_1_S11_L001	Aquella	centrifuge	1		1	Not_Detected			
NTC_run_1_S11_L001	Aquiluna	centrifuge	3		3	Not_Detected			
NTC_run_1_S11_L001	Arthrobacter	centrifuge	4635		4635	Not_Detected			
NTC_run_1_S11_L001	Asticcacaulis	centrifuge	28		28	Not_Detected			
NTC_run_1_S11_L001	Aureimonas	centrifuge	1		1	Not_Detected			
NTC_run_1_S11_L001	Auritidibacter	centrifuge	1		1	Not_Detected			
NTC_run_1_S11_L001	Austwickia	centrifuge	3		3	Not_Detected			
NTC_run_1_S11_L001	Azospirillum	centrifuge	7		7	Not_Detected			
