sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
PC_run_2_S12_L001	Orientia	alignment	104069	0.2181	185053	Not_Confirmed	0	false	false
PC_run_2_S12_L001	Rickettsia	alignment	188057	0.2631	664683	Not_Confirmed	0	false	true
PC_run_2_S12_L001	Aeribacillus	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Aeromonas	centrifuge	2		0	Not_Detected			
PC_run_2_S12_L001	Alicyclobacillus	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Alkalibacterium	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Alkalimarinus	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Allobacillus	centrifuge	2		0	Not_Detected			
PC_run_2_S12_L001	Amphritea	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Anaerobacillus	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Anaeromyxobacter	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Aneurinibacillus	centrifuge	4		0	Not_Detected			
PC_run_2_S12_L001	Aquipseudomonas	centrifuge	8		0	Not_Detected			
PC_run_2_S12_L001	Bacillus	centrifuge	83100		27	Detected			
PC_run_2_S12_L001	Buchnera	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Carnobacterium	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Citrobacter	centrifuge	326		0	Not_Detected			
PC_run_2_S12_L001	Clostridium	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Cronobacter	centrifuge	33		0	Not_Detected			
PC_run_2_S12_L001	Cytobacillus	centrifuge	3		0	Not_Detected			
PC_run_2_S12_L001	Desemzia	centrifuge	3		0	Not_Detected			
PC_run_2_S12_L001	Dryocola	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Edwardsiella	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Enterobacter	centrifuge	91		4	Not_Detected			
PC_run_2_S12_L001	Enterococcus	centrifuge	41415		1	Detected			
PC_run_2_S12_L001	Erwinia	centrifuge	13		0	Not_Detected			
PC_run_2_S12_L001	Escherichia	centrifuge	11831		2	Detected			
PC_run_2_S12_L001	Floricoccus	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Franconibacter	centrifuge	5		0	Not_Detected			
PC_run_2_S12_L001	Fundicoccus	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Furfurilactobacillus	centrifuge	2		0	Not_Detected			
PC_run_2_S12_L001	Geopseudomonas	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Guptibacillus	centrifuge	7		0	Not_Detected			
PC_run_2_S12_L001	Halalkalibacter	centrifuge	12		0	Not_Detected			
PC_run_2_S12_L001	Halopseudomonas	centrifuge	2		0	Not_Detected			
PC_run_2_S12_L001	Heyndrickxia	centrifuge	4		0	Not_Detected			
PC_run_2_S12_L001	Jeotgalicoccus	centrifuge	5		0	Not_Detected			
PC_run_2_S12_L001	Kibdelosporangium	centrifuge	1		1	Not_Detected			
PC_run_2_S12_L001	Klebsiella	centrifuge	81		69	Not_Detected			
PC_run_2_S12_L001	Kluyvera	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Kosakonia	centrifuge	2		0	Not_Detected			
PC_run_2_S12_L001	Lactobacillus	centrifuge	3		0	Not_Detected			
PC_run_2_S12_L001	Leclercia	centrifuge	57		0	Not_Detected			
PC_run_2_S12_L001	Lederbergia	centrifuge	3		0	Not_Detected			
PC_run_2_S12_L001	Lentibacillus	centrifuge	3		0	Not_Detected			
PC_run_2_S12_L001	Limosilactobacillus	centrifuge	61126		0	Detected			
PC_run_2_S12_L001	Listeria	centrifuge	72051		0	Detected			
PC_run_2_S12_L001	Lysinibacillus	centrifuge	2		0	Not_Detected			
PC_run_2_S12_L001	Mammaliicoccus	centrifuge	7		1	Not_Detected			
PC_run_2_S12_L001	Melissococcus	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Mesobacillus	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Metabacillus	centrifuge	3		0	Not_Detected			
PC_run_2_S12_L001	Metapseudomonas	centrifuge	7		0	Not_Detected			
PC_run_2_S12_L001	Moraxella	centrifuge	1		31	Not_Detected			
PC_run_2_S12_L001	Niallia	centrifuge	7		0	Not_Detected			
PC_run_2_S12_L001	Nitratifractor	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Nosocomiicoccus	centrifuge	3		0	Not_Detected			
PC_run_2_S12_L001	Oceanobacillus	centrifuge	4		0	Not_Detected			
PC_run_2_S12_L001	Paenibacillus	centrifuge	39		3	Not_Detected			
PC_run_2_S12_L001	Paenilisteria	centrifuge	10		0	Not_Detected			
PC_run_2_S12_L001	Paenisporosarcina	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Pantoea	centrifuge	3		0	Not_Detected			
PC_run_2_S12_L001	Parageobacillus	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Paucilactobacillus	centrifuge	3		0	Not_Detected			
PC_run_2_S12_L001	Pediococcus	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Peribacillus	centrifuge	6		2	Not_Detected			
PC_run_2_S12_L001	Phocoenobacter	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Photobacterium	centrifuge	1		1	Not_Detected			
PC_run_2_S12_L001	Planococcus	centrifuge	3		0	Not_Detected			
PC_run_2_S12_L001	Pluralibacter	centrifuge	7		0	Not_Detected			
PC_run_2_S12_L001	Priestia	centrifuge	25		18	Not_Detected			
PC_run_2_S12_L001	Pristimantibacillus_(SeqCode)	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Pseudomonas	centrifuge	10244		11	Detected			
PC_run_2_S12_L001	Rossellomorea	centrifuge	14		0	Not_Detected			
PC_run_2_S12_L001	Saccharophagus	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Salimicrobium	centrifuge	2		0	Not_Detected			
PC_run_2_S12_L001	Salinicoccus	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Salmonella	centrifuge	20604		1	Detected			
PC_run_2_S12_L001	Scandinavium	centrifuge	4		0	Not_Detected			
PC_run_2_S12_L001	Schinkia	centrifuge	1		1	Not_Detected			
PC_run_2_S12_L001	Shigella	centrifuge	312		0	Not_Detected			
PC_run_2_S12_L001	Shouchella	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Siminovitchia	centrifuge	1		0	Not_Detected			
PC_run_2_S12_L001	Staphylococcus	centrifuge	79100		4	Detected			
PC_run_2_S12_L001	Streptococcus	centrifuge	5		0	Not_Detected			
PC_run_2_S12_L001	Streptomyces	centrifuge	2		111	Not_Detected			
