sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
NTC11_S1_L001	Orientia	alignment	157122	0.2208	157122	Not_Confirmed	0	false	false
NTC11_S1_L001	Rickettsia	alignment	189002	0.2798	189002	Not_Confirmed	2	false	true
NTC11_S1_L001	Acaryochloris	centrifuge	3		3	Not_Detected			
NTC11_S1_L001	Achromobacter	centrifuge	2		2	Not_Detected			
NTC11_S1_L001	Acidipropionibacterium	centrifuge	6		6	Not_Detected			
NTC11_S1_L001	Acidithiobacillus	centrifuge	10		10	Not_Detected			
NTC11_S1_L001	Acinetobacter	centrifuge	107033		107033	Not_Detected			
NTC11_S1_L001	Actinomyces	centrifuge	2		2	Not_Detected			
NTC11_S1_L001	Actinospongiicola	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Actinotignum	centrifuge	4		4	Not_Detected			
NTC11_S1_L001	Affinundibacterium	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Agaribacterium	centrifuge	5		5	Not_Detected			
NTC11_S1_L001	Agreia	centrifuge	4		4	Not_Detected			
NTC11_S1_L001	Agrococcus	centrifuge	4		4	Not_Detected			
NTC11_S1_L001	Agromyces	centrifuge	153		153	Not_Detected			
NTC11_S1_L001	Algimonas	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Allobranchiibius	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Alloscardovia	centrifuge	28		28	Not_Detected			
NTC11_S1_L001	Aminobacter	centrifuge	9		9	Not_Detected			
NTC11_S1_L001	Ammonicoccus	centrifuge	6		6	Not_Detected			
NTC11_S1_L001	Amycolatopsis	centrifuge	2		2	Not_Detected			
NTC11_S1_L001	Anaerotignum	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Antarcticirhabdus	centrifuge	2		2	Not_Detected			
NTC11_S1_L001	Aquaspirillum	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Aquibium	centrifuge	3		3	Not_Detected			
NTC11_S1_L001	Aquicella	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Aquiluna	centrifuge	3		3	Not_Detected			
NTC11_S1_L001	Arthrobacter	centrifuge	87		87	Not_Detected			
NTC11_S1_L001	Atopobium	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Aurantimicrobium	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Bacillus	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Bartonella	centrifuge	4		4	Not_Detected			
NTC11_S1_L001	Bifidobacterium	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Bisbaumannia	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Blattabacterium	centrifuge	3		3	Not_Detected			
NTC11_S1_L001	Brachybacterium	centrifuge	10		10	Not_Detected			
NTC11_S1_L001	Brevundimonas	centrifuge	337		337	Not_Detected			
NTC11_S1_L001	Brooklawnia	centrifuge	7		7	Not_Detected			
NTC11_S1_L001	Brucella	centrifuge	278		278	Not_Detected			
NTC11_S1_L001	Buchananella	centrifuge	6		6	Not_Detected			
NTC11_S1_L001	Burkholderia	centrifuge	142458		142458	Not_Detected			
NTC11_S1_L001	Caballeronia	centrifuge	10		10	Not_Detected			
NTC11_S1_L001	Caldicellulosiruptor	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Campylobacter	centrifuge	2		2	Not_Detected			
NTC11_S1_L001	Candidatus_Atelocyanobacterium	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Candidatus_Azoamicus	centrifuge	3		3	Not_Detected			
NTC11_S1_L001	Candidatus_Bodocaedibacter	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Candidatus_Fukatsuia	centrifuge	4		4	Not_Detected			
NTC11_S1_L001	Candidatus_Ichthyocystis	centrifuge	2		2	Not_Detected			
NTC11_S1_L001	Candidatus_Nitrotoga	centrifuge	2		2	Not_Detected			
NTC11_S1_L001	Candidatus_Pelagibacter	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Candidatus_Poriferisodalis	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Candidatus_Portiera	centrifuge	2		2	Not_Detected			
NTC11_S1_L001	Candidatus_Rariloculus_(_ex_Nguyen_2022)	centrifuge	2		2	Not_Detected			
NTC11_S1_L001	Candidatus_Vallotiella	centrifuge	2		2	Not_Detected			
NTC11_S1_L001	Candidatus_Vidania	centrifuge	2		2	Not_Detected			
NTC11_S1_L001	Capilliphycus	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Carbonactinospora	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Cardiobacterium	centrifuge	6		6	Not_Detected			
NTC11_S1_L001	Caulobacter	centrifuge	29		29	Not_Detected			
NTC11_S1_L001	Cellulomonas	centrifuge	5		5	Not_Detected			
NTC11_S1_L001	Cellulosimicrobium	centrifuge	11		11	Not_Detected			
NTC11_S1_L001	Chitinimonas	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Christensenella	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Chroococcidiopsis	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Clavibacter	centrifuge	470		470	Not_Detected			
NTC11_S1_L001	Clostridioides	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Clostridium	centrifuge	5		5	Not_Detected			
NTC11_S1_L001	Cnuibacter	centrifuge	16		16	Not_Detected			
NTC11_S1_L001	Cognatishimia	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Comamonas	centrifuge	8		8	Not_Detected			
NTC11_S1_L001	Corynebacterium	centrifuge	230		230	Not_Detected			
NTC11_S1_L001	Coxiella	centrifuge	2		2	Not_Detected			
NTC11_S1_L001	Cryobacterium	centrifuge	38		38	Not_Detected			
NTC11_S1_L001	Crystallibacter	centrifuge	2		2	Not_Detected			
NTC11_S1_L001	Cupriavidus	centrifuge	5		5	Not_Detected			
NTC11_S1_L001	Curtobacterium	centrifuge	154479		154479	Not_Detected			
NTC11_S1_L001	Cutibacterium	centrifuge	7		7	Not_Detected			
NTC11_S1_L001	Cycloclasticus	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Dactylosporangium	centrifuge	2		2	Not_Detected			
NTC11_S1_L001	Dehalobacterium	centrifuge	8		8	Not_Detected			
NTC11_S1_L001	Dehalogenimonas	centrifuge	1		1	Not_Detected			
NTC11_S1_L001	Deinococcus	centrifuge	2		2	Not_Detected			
NTC11_S1_L001	Delftia	centrifuge	2		2	Not_Detected			
