sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
PC13_S2_L001	Orientia	alignment	115931	0.2128	157122	Not_Confirmed	0	false	false
PC13_S2_L001	Rickettsia	alignment	222947	0.2115	189002	Probable	0	true	false
PC13_S2_L001	Acetobacterium	centrifuge	6		0	Not_Detected			
PC13_S2_L001	Aerococcus	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Alicyclobacillus	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Alloalcanivorax	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Allobacillus	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Amphritea	centrifuge	5		0	Not_Detected			
PC13_S2_L001	Anaerobacillus	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Aneurinibacillus	centrifuge	2		0	Not_Detected			
PC13_S2_L001	Aquipseudomonas	centrifuge	3		0	Not_Detected			
PC13_S2_L001	Atribacter	centrifuge	2		0	Not_Detected			
PC13_S2_L001	Bacillus	centrifuge	97201		1	Detected			
PC13_S2_L001	Bifidobacterium	centrifuge	1		1	Not_Detected			
PC13_S2_L001	Brochothrix	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Brucella	centrifuge	1		278	Not_Detected			
PC13_S2_L001	Candidatus_Leptofilum	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Candidatus_Profftia	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Carnobacterium	centrifuge	2		0	Not_Detected			
PC13_S2_L001	Chordicoccus	centrifuge	2		0	Not_Detected			
PC13_S2_L001	Christensenella	centrifuge	1		1	Not_Detected			
PC13_S2_L001	Citrobacter	centrifuge	461		0	Not_Detected			
PC13_S2_L001	Clostridioides	centrifuge	1		1	Not_Detected			
PC13_S2_L001	Clostridium	centrifuge	3		5	Not_Detected			
PC13_S2_L001	Cronobacter	centrifuge	41		0	Not_Detected			
PC13_S2_L001	Cytobacillus	centrifuge	7		0	Not_Detected			
PC13_S2_L001	Desemzia	centrifuge	11		0	Not_Detected			
PC13_S2_L001	Desulfofarcimen	centrifuge	8		0	Not_Detected			
PC13_S2_L001	Dialister	centrifuge	4		0	Not_Detected			
PC13_S2_L001	Dryocola	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Ectopseudomonas	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Edwardsiella	centrifuge	2		0	Not_Detected			
PC13_S2_L001	Enterobacter	centrifuge	207		14	Not_Detected			
PC13_S2_L001	Enterococcus	centrifuge	44910		1	Detected			
PC13_S2_L001	Erwinia	centrifuge	40		0	Not_Detected			
PC13_S2_L001	Escherichia	centrifuge	16818		2	Detected			
PC13_S2_L001	Fimbriimonas	centrifuge	1		1	Not_Detected			
PC13_S2_L001	Floricoccus	centrifuge	2		0	Not_Detected			
PC13_S2_L001	Franconibacter	centrifuge	5		0	Not_Detected			
PC13_S2_L001	Furfurilactobacillus	centrifuge	41		0	Not_Detected			
PC13_S2_L001	Gemella	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Geopseudomonas	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Guptibacillus	centrifuge	15		0	Not_Detected			
PC13_S2_L001	Halalkalibacter	centrifuge	7		0	Not_Detected			
PC13_S2_L001	Haliovirga	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Halobacillus	centrifuge	2		0	Not_Detected			
PC13_S2_L001	Halopseudomonas	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Heyndrickxia	centrifuge	2		0	Not_Detected			
PC13_S2_L001	Holzapfeliella	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Jeotgalibacillus	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Jeotgalicoccus	centrifuge	3		0	Not_Detected			
PC13_S2_L001	Klebsiella	centrifuge	108		16	Not_Detected			
PC13_S2_L001	Kosakonia	centrifuge	4		0	Not_Detected			
PC13_S2_L001	Kyrpidia	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Lactococcus	centrifuge	11		0	Not_Detected			
PC13_S2_L001	Leclercia	centrifuge	56		0	Not_Detected			
PC13_S2_L001	Lederbergia	centrifuge	13		0	Not_Detected			
PC13_S2_L001	Lelliottia	centrifuge	2		0	Not_Detected			
PC13_S2_L001	Lentibacillus	centrifuge	10		0	Not_Detected			
PC13_S2_L001	Lentilactobacillus	centrifuge	2		0	Not_Detected			
PC13_S2_L001	Levilactobacillus	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Ligilactobacillus	centrifuge	12		0	Not_Detected			
PC13_S2_L001	Limnobacter	centrifuge	6		2	Not_Detected			
PC13_S2_L001	Limosilactobacillus	centrifuge	64879		0	Detected			
PC13_S2_L001	Listeria	centrifuge	85771		0	Detected			
PC13_S2_L001	Lysinibacillus	centrifuge	3		0	Not_Detected			
PC13_S2_L001	Macrococcoides	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Mammaliicoccus	centrifuge	15		0	Not_Detected			
PC13_S2_L001	Mannheimia	centrifuge	1		1	Not_Detected			
PC13_S2_L001	Marinivivus	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Melissococcus	centrifuge	2		0	Not_Detected			
PC13_S2_L001	Metabacillus	centrifuge	8		0	Not_Detected			
PC13_S2_L001	Metapseudomonas	centrifuge	9		0	Not_Detected			
PC13_S2_L001	Methylocaldum	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Morganella	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Nannocystis	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Natranaerobius	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Neobacillus	centrifuge	2		0	Not_Detected			
PC13_S2_L001	Niallia	centrifuge	13		0	Not_Detected			
PC13_S2_L001	Nosocomiicoccus	centrifuge	8		0	Not_Detected			
PC13_S2_L001	Obesumbacterium	centrifuge	5		0	Not_Detected			
PC13_S2_L001	Oceanobacillus	centrifuge	4		0	Not_Detected			
PC13_S2_L001	Ornithinibacillus	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Paenibacillus	centrifuge	247		1	Not_Detected			
PC13_S2_L001	Paenilisteria	centrifuge	10		0	Not_Detected			
PC13_S2_L001	Paucilactobacillus	centrifuge	5		0	Not_Detected			
PC13_S2_L001	Pediococcus	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Peribacillus	centrifuge	16		0	Not_Detected			
PC13_S2_L001	Phocoenobacter	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Planococcus	centrifuge	6		0	Not_Detected			
PC13_S2_L001	Plesiomonas	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Pluralibacter	centrifuge	4		0	Not_Detected			
PC13_S2_L001	Priestia	centrifuge	27		0	Not_Detected			
PC13_S2_L001	Proteus	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Providencia	centrifuge	1		1	Not_Detected			
PC13_S2_L001	Pseudalkalibacillus	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Pseudoalteromonas	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Pseudomonas	centrifuge	15032		7	Detected			
PC13_S2_L001	Pullulanibacillus	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Renibacterium	centrifuge	1		9	Not_Detected			
PC13_S2_L001	Rossellomorea	centrifuge	17		0	Not_Detected			
PC13_S2_L001	Salimicrobium	centrifuge	2		0	Not_Detected			
PC13_S2_L001	Salinicoccus	centrifuge	3		0	Not_Detected			
PC13_S2_L001	Salinisphaera	centrifuge	1		5	Not_Detected			
PC13_S2_L001	Salmonella	centrifuge	28615		0	Detected			
PC13_S2_L001	Schinkia	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Segniliparus	centrifuge	1		16	Not_Detected			
PC13_S2_L001	Selenomonas	centrifuge	2		5	Not_Detected			
PC13_S2_L001	Shigella	centrifuge	368		0	Not_Detected			
PC13_S2_L001	Shimwellia	centrifuge	2		0	Not_Detected			
PC13_S2_L001	Shouchella	centrifuge	7		0	Not_Detected			
PC13_S2_L001	Siminovitchia	centrifuge	2		0	Not_Detected			
PC13_S2_L001	Solibacillus	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Sporosarcina	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Staphylococcus	centrifuge	92964		0	Detected			
PC13_S2_L001	Streptococcus	centrifuge	26		1	Not_Detected			
PC13_S2_L001	Streptomyces	centrifuge	7		52	Not_Detected			
PC13_S2_L001	Stutzerimonas	centrifuge	33		0	Not_Detected			
PC13_S2_L001	Suicoccus	centrifuge	1		0	Not_Detected			
PC13_S2_L001	Sulfobacillus	centrifuge	1		1	Not_Detected			
