sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
NTC1_ExDwEB_S14_L001	Orientia	alignment	4888	0.2241	2202	Probable	0	true	false
NTC1_ExDwEB_S14_L001	Rickettsia	alignment	265350	0.3226	582829	Not_Confirmed	0	false	true
NTC1_ExDwEB_S14_L001	Acetivibrio	centrifuge	19		1	Not_Detected			
NTC1_ExDwEB_S14_L001	Acidimicrobium	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Acidipropionibacterium	centrifuge	33		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Actinobacillus	centrifuge	4		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Actinospongiicola	centrifuge	2		3	Not_Detected			
NTC1_ExDwEB_S14_L001	Actinotignum	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Aequoribacter	centrifuge	9		14	Not_Detected			
NTC1_ExDwEB_S14_L001	Aestuariivirga	centrifuge	2		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Aggregatibacter	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Algimonas	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Alicyclobacillus	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Allomicrovenator	centrifuge	1		1	Not_Detected			
NTC1_ExDwEB_S14_L001	Alloscardovia	centrifuge	11		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Anatilimnocola	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Antarcticirhabdus	centrifuge	8		2	Not_Detected			
NTC1_ExDwEB_S14_L001	Arachnia	centrifuge	2		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Arcanobacterium	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Arcobacter	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Arsenophonus	centrifuge	2		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Arthrobacter	centrifuge	3		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Asticcacaulis	centrifuge	26		41	Not_Detected			
NTC1_ExDwEB_S14_L001	Aureimonas	centrifuge	2		4	Not_Detected			
NTC1_ExDwEB_S14_L001	Auritidibacter	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Avibacterium	centrifuge	2		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Bifidobacterium	centrifuge	26		6	Not_Detected			
NTC1_ExDwEB_S14_L001	Bosea	centrifuge	1		8	Not_Detected			
NTC1_ExDwEB_S14_L001	Brevundimonas	centrifuge	90133		285740	Not_Detected			
NTC1_ExDwEB_S14_L001	Brooklawnia	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Caldanaerobacter	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Campylobacter	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Candidatus_Carsonella	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Candidatus_Cloacimonas	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Candidatus_Cytomitobacter	centrifuge	2		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Candidatus_Epulonipiscium	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Candidatus_Levibacter	centrifuge	17		30	Not_Detected			
NTC1_ExDwEB_S14_L001	Candidatus_Pelagibacter	centrifuge	11		1	Not_Detected			
NTC1_ExDwEB_S14_L001	Carbonactinospora	centrifuge	2		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Caulobacter	centrifuge	5487		14634	Not_Detected			
NTC1_ExDwEB_S14_L001	Cellulomonas	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Chenggangzhangella	centrifuge	1		1	Not_Detected			
NTC1_ExDwEB_S14_L001	Chloracidobacterium	centrifuge	72		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Citrobacter	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Clavibacter	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Clostridium	centrifuge	3		1	Not_Detected			
NTC1_ExDwEB_S14_L001	Cohaesibacter	centrifuge	1		1	Not_Detected			
NTC1_ExDwEB_S14_L001	Coralliovum	centrifuge	1		2	Not_Detected			
NTC1_ExDwEB_S14_L001	Corynebacterium	centrifuge	85		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Crystallibacter	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Curtobacterium	centrifuge	2		1	Not_Detected			
NTC1_ExDwEB_S14_L001	Cutibacterium	centrifuge	183758		3	Detected			
NTC1_ExDwEB_S14_L001	Deinococcus	centrifuge	2		1	Not_Detected			
NTC1_ExDwEB_S14_L001	Desulfofarcimen	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Dissulfuribacter	centrifuge	2		1	Not_Detected			
NTC1_ExDwEB_S14_L001	Dissulfurispira	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Edwardsiella	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Enterobacter	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Enterococcus	centrifuge	3		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Entomospira	centrifuge	265		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Erwinia	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Escherichia	centrifuge	3		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Fervidibacter	centrifuge	6		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Fimbriimonas	centrifuge	3		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Friedmanniella	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Geotalea	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Gilliamella	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Glaesserella	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Gloeobacter	centrifuge	11		14	Not_Detected			
NTC1_ExDwEB_S14_L001	Gordonia	centrifuge	2		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Gracilimonas	centrifuge	9		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Haemophilus	centrifuge	39768		0	Detected			
NTC1_ExDwEB_S14_L001	Halobacteriovorax	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Halothermothrix	centrifuge	4		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Ilumatobacter	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Klebsiella	centrifuge	1		1	Not_Detected			
NTC1_ExDwEB_S14_L001	Lawsonella	centrifuge	5		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Legionella	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Liberibacter	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Limnobacter	centrifuge	2		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Limnospira	centrifuge	1		1	Not_Detected			
NTC1_ExDwEB_S14_L001	Litorimonas	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Lonepinella	centrifuge	9		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Mannheimia	centrifuge	2		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Maridesulfovibrio	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Marinitoga	centrifuge	1		0	Not_Detected			
NTC1_ExDwEB_S14_L001	Marinivivus	centrifuge	1		0	Not_Detected			
