sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
NTC2_ExDw_S13_L001	Orientia	alignment	115053	0.2295	2202	Probable	0	true	false
NTC2_ExDw_S13_L001	Rickettsia	alignment	276467	0.3226	582829	Not_Confirmed	0	false	true
NTC2_ExDw_S13_L001	Acaryochloris	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Acetivibrio	centrifuge	238		1	Not_Detected			
NTC2_ExDw_S13_L001	Acidithiobacillus	centrifuge	2		0	Not_Detected			
NTC2_ExDw_S13_L001	Actinospongiicola	centrifuge	1		3	Not_Detected			
NTC2_ExDw_S13_L001	Aequoribacter	centrifuge	4		14	Not_Detected			
NTC2_ExDw_S13_L001	Aestuariivirga	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Ahrensia	centrifuge	6		0	Not_Detected			
NTC2_ExDw_S13_L001	Albidovulum	centrifuge	2		0	Not_Detected			
NTC2_ExDw_S13_L001	Aliiphycobium	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Allomeiothermus	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Alloyangia	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Anaerolinea	centrifuge	3		0	Not_Detected			
NTC2_ExDw_S13_L001	Anaerostipes	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Anderseniella	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Antarcticirhabdus	centrifuge	1		2	Not_Detected			
NTC2_ExDw_S13_L001	Arcanobacterium	centrifuge	8797		0	Detected			
NTC2_ExDw_S13_L001	Asticcacaulis	centrifuge	20		41	Not_Detected			
NTC2_ExDw_S13_L001	Azorhizobium	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Bacillus	centrifuge	2		0	Not_Detected			
NTC2_ExDw_S13_L001	Bdellovibrio	centrifuge	13240		0	Detected			
NTC2_ExDw_S13_L001	Bernardetia	centrifuge	2		0	Not_Detected			
NTC2_ExDw_S13_L001	Blastochloris	centrifuge	1		13	Not_Detected			
NTC2_ExDw_S13_L001	Bordetella	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Bosea	centrifuge	5		8	Not_Detected			
NTC2_ExDw_S13_L001	Brasilonema	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Brevundimonas	centrifuge	188778		285740	Not_Detected			
NTC2_ExDw_S13_L001	Burkholderia	centrifuge	106204		1	Detected			
NTC2_ExDw_S13_L001	Caballeronia	centrifuge	2		0	Not_Detected			
NTC2_ExDw_S13_L001	Campylobacter	centrifuge	13		0	Not_Detected			
NTC2_ExDw_S13_L001	Candidatus_Brevifilum	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Candidatus_Chromulinivorax	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Candidatus_Endolissoclinum	centrifuge	33		0	Not_Detected			
NTC2_ExDw_S13_L001	Candidatus_Karelsulcia	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Candidatus_Levibacter	centrifuge	10		30	Not_Detected			
NTC2_ExDw_S13_L001	Candidatus_Nitrosoglobus	centrifuge	49		0	Not_Detected			
NTC2_ExDw_S13_L001	Candidatus_Nitrotoga	centrifuge	2		0	Not_Detected			
NTC2_ExDw_S13_L001	Candidatus_Pelagibacter	centrifuge	1		1	Not_Detected			
NTC2_ExDw_S13_L001	Candidatus_Phytoplasma	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Candidatus_Portiera	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Candidatus_Vallotiella	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Caulobacter	centrifuge	9670		14634	Not_Detected			
NTC2_ExDw_S13_L001	Cereibacter	centrifuge	51130		0	Detected			
NTC2_ExDw_S13_L001	Chondromyces	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Citrobacter	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Comamonas	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Cupriavidus	centrifuge	3		1	Not_Detected			
NTC2_ExDw_S13_L001	Curtobacterium	centrifuge	2		1	Not_Detected			
NTC2_ExDw_S13_L001	Cyanobacterium	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Cytobacillus	centrifuge	2		0	Not_Detected			
NTC2_ExDw_S13_L001	Delftia	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Desulfosporosinus	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Devosia	centrifuge	3		4	Not_Detected			
NTC2_ExDw_S13_L001	Dickeya	centrifuge	3		2	Not_Detected			
NTC2_ExDw_S13_L001	Dinoroseobacter	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Dissulfuribacter	centrifuge	1		1	Not_Detected			
NTC2_ExDw_S13_L001	Elioraea	centrifuge	2		0	Not_Detected			
NTC2_ExDw_S13_L001	Enterococcus	centrifuge	1		0	Not_Detected			
NTC2_ExDw_S13_L001	Escherichia	centrifuge	3		0	Not_Detected			
