sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
NTC3_ExEB_S12_L001	Orientia	alignment	2202	0.2622	2202	Not_Confirmed	0	false	true
NTC3_ExEB_S12_L001	Rickettsia	alignment	582829	0.3233	582829	Not_Confirmed	0	false	true
NTC3_ExEB_S12_L001	Acetivibrio	centrifuge	1		1	Not_Detected			
NTC3_ExEB_S12_L001	Acetobacter	centrifuge	1		1	Not_Detected			
NTC3_ExEB_S12_L001	Actinospongiicola	centrifuge	3		3	Not_Detected			
NTC3_ExEB_S12_L001	Aequoribacter	centrifuge	14		14	Not_Detected			
NTC3_ExEB_S12_L001	Allomicrovenator	centrifuge	1		1	Not_Detected			
NTC3_ExEB_S12_L001	Anabaena	centrifuge	146		146	Not_Detected			
NTC3_ExEB_S12_L001	Antarcticirhabdus	centrifuge	2		2	Not_Detected			
NTC3_ExEB_S12_L001	Asticcacaulis	centrifuge	41		41	Not_Detected			
NTC3_ExEB_S12_L001	Aureimonas	centrifuge	4		4	Not_Detected			
NTC3_ExEB_S12_L001	Bartonella	centrifuge	1		1	Not_Detected			
NTC3_ExEB_S12_L001	Bauldia	centrifuge	2		2	Not_Detected			
NTC3_ExEB_S12_L001	Bifidobacterium	centrifuge	6		6	Not_Detected			
NTC3_ExEB_S12_L001	Blastochloris	centrifuge	13		13	Not_Detected			
NTC3_ExEB_S12_L001	Bosea	centrifuge	8		8	Not_Detected			
NTC3_ExEB_S12_L001	Bradyrhizobium	centrifuge	6		6	Not_Detected			
NTC3_ExEB_S12_L001	Brevundimonas	centrifuge	285740		285740	Not_Detected			
NTC3_ExEB_S12_L001	Brucella	centrifuge	4		4	Not_Detected			
NTC3_ExEB_S12_L001	Burkholderia	centrifuge	1		1	Not_Detected			
NTC3_ExEB_S12_L001	Candidatus_Levibacter	centrifuge	30		30	Not_Detected			
NTC3_ExEB_S12_L001	Candidatus_Pelagibacter	centrifuge	1		1	Not_Detected			
NTC3_ExEB_S12_L001	Caulobacter	centrifuge	14634		14634	Not_Detected			
NTC3_ExEB_S12_L001	Chelatococcus	centrifuge	10		10	Not_Detected			
NTC3_ExEB_S12_L001	Chenggangzhangella	centrifuge	1		1	Not_Detected			
NTC3_ExEB_S12_L001	Clostridium	centrifuge	1		1	Not_Detected			
NTC3_ExEB_S12_L001	Cognatishimia	centrifuge	1		1	Not_Detected			
NTC3_ExEB_S12_L001	Cohaesibacter	centrifuge	1		1	Not_Detected			
NTC3_ExEB_S12_L001	Collinsella	centrifuge	1		1	Not_Detected			
NTC3_ExEB_S12_L001	Coralliovum	centrifuge	2		2	Not_Detected			
NTC3_ExEB_S12_L001	Cupriavidus	centrifuge	1		1	Not_Detected			
NTC3_ExEB_S12_L001	Curtobacterium	centrifuge	1		1	Not_Detected			
NTC3_ExEB_S12_L001	Cutibacterium	centrifuge	3		3	Not_Detected			
NTC3_ExEB_S12_L001	Deinococcus	centrifuge	1		1	Not_Detected			
NTC3_ExEB_S12_L001	Devosia	centrifuge	4		4	Not_Detected			
NTC3_ExEB_S12_L001	Diaphorobacter	centrifuge	13		13	Not_Detected			
NTC3_ExEB_S12_L001	Dickeya	centrifuge	2		2	Not_Detected			
NTC3_ExEB_S12_L001	Dissulfuribacter	centrifuge	1		1	Not_Detected			
NTC3_ExEB_S12_L001	Dolichospermum	centrifuge	1		1	Not_Detected			
NTC3_ExEB_S12_L001	Euzebya	centrifuge	1		1	Not_Detected			
NTC3_ExEB_S12_L001	Fontivita	centrifuge	11		11	Not_Detected			
NTC3_ExEB_S12_L001	Geitlerinema	centrifuge	1		1	Not_Detected			
NTC3_ExEB_S12_L001	Gloeobacter	centrifuge	14		14	Not_Detected			
NTC3_ExEB_S12_L001	Hyphomicrobium	centrifuge	10		10	Not_Detected			
NTC3_ExEB_S12_L001	Hyphomonas	centrifuge	1		1	Not_Detected			
NTC3_ExEB_S12_L001	Klebsiella	centrifuge	1		1	Not_Detected			
NTC3_ExEB_S12_L001	Limnospira	centrifuge	1		1	Not_Detected			
