sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
NTC5_NExEB_S15_L001	Orientia	alignment	1233	0.2248	2202	Not_Confirmed	0	false	false
NTC5_NExEB_S15_L001	Rickettsia	alignment	232531	0.3226	582829	Not_Confirmed	0	false	true
NTC5_NExEB_S15_L001	Achromobacter	centrifuge	2		0	Not_Detected			
NTC5_NExEB_S15_L001	Actinospongiicola	centrifuge	2		3	Not_Detected			
NTC5_NExEB_S15_L001	Aequoribacter	centrifuge	4		14	Not_Detected			
NTC5_NExEB_S15_L001	Algoriphagus	centrifuge	513		0	Detected			
NTC5_NExEB_S15_L001	Alteromonas	centrifuge	2		0	Not_Detected			
NTC5_NExEB_S15_L001	Alysiella	centrifuge	5		0	Not_Detected			
NTC5_NExEB_S15_L001	Amaricoccus	centrifuge	1		0	Not_Detected			
NTC5_NExEB_S15_L001	Anaeromyxobacter	centrifuge	3		0	Not_Detected			
NTC5_NExEB_S15_L001	Antarcticirhabdus	centrifuge	1		2	Not_Detected			
NTC5_NExEB_S15_L001	Aquella	centrifuge	3		0	Not_Detected			
NTC5_NExEB_S15_L001	Asticcacaulis	centrifuge	24		41	Not_Detected			
NTC5_NExEB_S15_L001	Bacillus	centrifuge	27		0	Not_Detected			
NTC5_NExEB_S15_L001	Bosea	centrifuge	1		8	Not_Detected			
NTC5_NExEB_S15_L001	Brachyspira	centrifuge	1		0	Not_Detected			
NTC5_NExEB_S15_L001	Brevundimonas	centrifuge	204530		285740	Not_Detected			
NTC5_NExEB_S15_L001	Burkholderia	centrifuge	25		1	Not_Detected			
NTC5_NExEB_S15_L001	Candidatus_Endomicrobiellum	centrifuge	14		0	Not_Detected			
NTC5_NExEB_S15_L001	Candidatus_Levibacter	centrifuge	15		30	Not_Detected			
NTC5_NExEB_S15_L001	Candidatus_Phytoplasma	centrifuge	2		0	Not_Detected			
NTC5_NExEB_S15_L001	Candidatus_Vidania	centrifuge	1		0	Not_Detected			
NTC5_NExEB_S15_L001	Caulobacter	centrifuge	9501		14634	Not_Detected			
NTC5_NExEB_S15_L001	Chlorobaculum	centrifuge	13		0	Not_Detected			
NTC5_NExEB_S15_L001	Comamonas	centrifuge	4		0	Not_Detected			
NTC5_NExEB_S15_L001	Desulfothermobacter	centrifuge	2		0	Not_Detected			
NTC5_NExEB_S15_L001	Elusimicrobium	centrifuge	5		0	Not_Detected			
NTC5_NExEB_S15_L001	Endomicrobium	centrifuge	19		0	Not_Detected			
NTC5_NExEB_S15_L001	Enterobacter	centrifuge	34		0	Not_Detected			
NTC5_NExEB_S15_L001	Erwinia	centrifuge	1		0	Not_Detected			
NTC5_NExEB_S15_L001	Gloeobacter	centrifuge	3		14	Not_Detected			
NTC5_NExEB_S15_L001	Klebsiella	centrifuge	1		1	Not_Detected			
NTC5_NExEB_S15_L001	Minisyncoccus	centrifuge	1964		0	Detected			
NTC5_NExEB_S15_L001	Mycoplasmopsis	centrifuge	1		5	Not_Detected			
NTC5_NExEB_S15_L001	Nitrosomonas	centrifuge	7		0	Not_Detected			
NTC5_NExEB_S15_L001	Paracidovorax	centrifuge	9		0	Not_Detected			
NTC5_NExEB_S15_L001	Phenylobacterium	centrifuge	118		210	Not_Detected			
NTC5_NExEB_S15_L001	Photobacterium	centrifuge	1		0	Not_Detected			
NTC5_NExEB_S15_L001	Planktothrix	centrifuge	2		1	Not_Detected			
NTC5_NExEB_S15_L001	Pleomorphomonas	centrifuge	1		4	Not_Detected			
NTC5_NExEB_S15_L001	Polynucleobacter	centrifuge	21		0	Not_Detected			
NTC5_NExEB_S15_L001	Proteus	centrifuge	1		0	Not_Detected			
NTC5_NExEB_S15_L001	Pseudarthrobacter	centrifuge	1		0	Not_Detected			
NTC5_NExEB_S15_L001	Ralstonia	centrifuge	3		0	Not_Detected			
NTC5_NExEB_S15_L001	Rhodothermus	centrifuge	10		0	Not_Detected			
NTC5_NExEB_S15_L001	Rufibacter	centrifuge	1		0	Not_Detected			
NTC5_NExEB_S15_L001	Salmonella	centrifuge	1		0	Not_Detected			
NTC5_NExEB_S15_L001	Sphingomonas	centrifuge	5		10	Not_Detected			
NTC5_NExEB_S15_L001	Spiroplasma	centrifuge	37		0	Not_Detected			
NTC5_NExEB_S15_L001	Streptomyces	centrifuge	1		1	Not_Detected			
NTC5_NExEB_S15_L001	Sulfobacillus	centrifuge	1		0	Not_Detected			
NTC5_NExEB_S15_L001	Tabrizicola	centrifuge	1		5	Not_Detected			
NTC5_NExEB_S15_L001	Temperatibacter	centrifuge	1		0	Not_Detected			
NTC5_NExEB_S15_L001	Tepiditoga	centrifuge	23		0	Not_Detected			
NTC5_NExEB_S15_L001	Thermosediminibacter	centrifuge	4		0	Not_Detected			
NTC5_NExEB_S15_L001	Thermospira	centrifuge	3		0	Not_Detected			
NTC5_NExEB_S15_L001	Thermotomaculum	centrifuge	25		0	Not_Detected			
NTC5_NExEB_S15_L001	Variovorax	centrifuge	1		0	Not_Detected			
NTC5_NExEB_S15_L001	Verminephrobacter	centrifuge	2		0	Not_Detected			
NTC5_NExEB_S15_L001	Vreelandella	centrifuge	22		34	Not_Detected			
NTC5_NExEB_S15_L001	Weissella	centrifuge	5		0	Not_Detected			
NTC5_NExEB_S15_L001	Xanthobacter	centrifuge	1		0	Not_Detected			
