sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
PC_S11_L001	Orientia	alignment	91259	0.2168	2202	Probable	0	true	false
PC_S11_L001	Rickettsia	alignment	164828	0.2102	582829	Not_Confirmed	2	false	false
PC_S11_L001	Abyssicoccus	centrifuge	1		0	Not_Detected			
PC_S11_L001	Alkalihalophilus	centrifuge	1		0	Not_Detected			
PC_S11_L001	Anaerobacillus	centrifuge	1		0	Not_Detected			
PC_S11_L001	Anaeromyxobacter	centrifuge	1		0	Not_Detected			
PC_S11_L001	Aneurinibacillus	centrifuge	4		0	Not_Detected			
PC_S11_L001	Aquipseudomonas	centrifuge	2		0	Not_Detected			
PC_S11_L001	Atlantibacter	centrifuge	1		0	Not_Detected			
PC_S11_L001	Bacillus	centrifuge	69329		0	Detected			
PC_S11_L001	Bacteroides	centrifuge	1		0	Not_Detected			
PC_S11_L001	Bordetella	centrifuge	1		0	Not_Detected			
PC_S11_L001	Candidatus_Regiella	centrifuge	2		0	Not_Detected			
PC_S11_L001	Carnobacterium	centrifuge	1		0	Not_Detected			
PC_S11_L001	Cedecea	centrifuge	1		0	Not_Detected			
PC_S11_L001	Citrobacter	centrifuge	187		0	Not_Detected			
PC_S11_L001	Cronobacter	centrifuge	16		0	Not_Detected			
PC_S11_L001	Desemzia	centrifuge	3		0	Not_Detected			
PC_S11_L001	Ectopseudomonas	centrifuge	1		0	Not_Detected			
PC_S11_L001	Edwardsiella	centrifuge	1		0	Not_Detected			
PC_S11_L001	Enterobacter	centrifuge	116		0	Not_Detected			
PC_S11_L001	Enterococcus	centrifuge	35261		0	Detected			
PC_S11_L001	Erwinia	centrifuge	12		0	Not_Detected			
PC_S11_L001	Erysipelothrix	centrifuge	1		0	Not_Detected			
PC_S11_L001	Escherichia	centrifuge	10908		0	Detected			
PC_S11_L001	Falsibacillus	centrifuge	1		0	Not_Detected			
PC_S11_L001	Franconibacter	centrifuge	5		0	Not_Detected			
PC_S11_L001	Furfurilactobacillus	centrifuge	3		0	Not_Detected			
PC_S11_L001	Guptibacillus	centrifuge	7		0	Not_Detected			
PC_S11_L001	Halalkalibacter	centrifuge	1		0	Not_Detected			
PC_S11_L001	Halopseudomonas	centrifuge	1		0	Not_Detected			
PC_S11_L001	Heyndrickxia	centrifuge	1		0	Not_Detected			
PC_S11_L001	Hydrogenophilus	centrifuge	1		0	Not_Detected			
PC_S11_L001	Klebsiella	centrifuge	74		1	Not_Detected			
PC_S11_L001	Kosakonia	centrifuge	1		0	Not_Detected			
PC_S11_L001	Lactiplantibacillus	centrifuge	1		0	Not_Detected			
PC_S11_L001	Lactococcus	centrifuge	2		0	Not_Detected			
PC_S11_L001	Leclercia	centrifuge	41		0	Not_Detected			
PC_S11_L001	Lederbergia	centrifuge	2		0	Not_Detected			
PC_S11_L001	Lentibacillus	centrifuge	3		0	Not_Detected			
PC_S11_L001	Leptotrichia	centrifuge	1		0	Not_Detected			
PC_S11_L001	Levilactobacillus	centrifuge	1		0	Not_Detected			
PC_S11_L001	Ligilactobacillus	centrifuge	1		0	Not_Detected			
PC_S11_L001	Limnobacter	centrifuge	3		0	Not_Detected			
PC_S11_L001	Limosilactobacillus	centrifuge	49729		0	Detected			
PC_S11_L001	Listeria	centrifuge	59783		0	Detected			
PC_S11_L001	Lysinibacillus	centrifuge	1		0	Not_Detected			
PC_S11_L001	Macrococcus	centrifuge	1		0	Not_Detected			
PC_S11_L001	Mammaliicoccus	centrifuge	1		0	Not_Detected			
PC_S11_L001	Melissococcus	centrifuge	1		0	Not_Detected			
PC_S11_L001	Metabacillus	centrifuge	1		0	Not_Detected			
PC_S11_L001	Metapseudomonas	centrifuge	5		0	Not_Detected			
PC_S11_L001	Metasolibacillus	centrifuge	1		0	Not_Detected			
PC_S11_L001	Morganella	centrifuge	1		0	Not_Detected			
PC_S11_L001	Neobacillus	centrifuge	2		0	Not_Detected			
PC_S11_L001	Niallia	centrifuge	3		0	Not_Detected			
PC_S11_L001	Nosocomiicoccus	centrifuge	2		0	Not_Detected			
PC_S11_L001	Obesumbacterium	centrifuge	2		0	Not_Detected			
PC_S11_L001	Oceanobacillus	centrifuge	2		0	Not_Detected			
PC_S11_L001	Paenibacillus	centrifuge	57		0	Not_Detected			
PC_S11_L001	Paenilisteria	centrifuge	3		0	Not_Detected			
PC_S11_L001	Pantoea	centrifuge	1		0	Not_Detected			
PC_S11_L001	Paucilactobacillus	centrifuge	2		0	Not_Detected			
PC_S11_L001	Peribacillus	centrifuge	3		0	Not_Detected			
PC_S11_L001	Picosynechococcus	centrifuge	1		0	Not_Detected			
PC_S11_L001	Planococcus	centrifuge	2		0	Not_Detected			
PC_S11_L001	Pluralibacter	centrifuge	5		0	Not_Detected			
PC_S11_L001	Priestia	centrifuge	10		0	Not_Detected			
