sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
23300774_S11_L001	Orientia	alignment	1145	0.2175	1288	Not_Confirmed	0	false	false
23300774_S11_L001	Rickettsia	alignment	7634	0.2965	127125	Not_Confirmed	2	false	true
23300774_S11_L001	Achromobacter	centrifuge	1		0	Not_Detected			
23300774_S11_L001	Actinoplanes	centrifuge	1		0	Not_Detected			
23300774_S11_L001	Aeromonas	centrifuge	1		0	Not_Detected			
23300774_S11_L001	Alteromonas	centrifuge	2		0	Not_Detected			
23300774_S11_L001	Anaerobacillus	centrifuge	1		0	Not_Detected			
23300774_S11_L001	Arcanobacterium	centrifuge	5		0	Not_Detected			
23300774_S11_L001	Arsenophonus	centrifuge	2		0	Not_Detected			
23300774_S11_L001	Arthrobacter	centrifuge	1		0	Not_Detected			
23300774_S11_L001	Bacillus	centrifuge	1		3	Not_Detected			
23300774_S11_L001	Bacteroides	centrifuge	2		0	Not_Detected			
23300774_S11_L001	Bifidobacterium	centrifuge	1		231	Not_Detected			
23300774_S11_L001	Brevundimonas	centrifuge	2407		97157	Not_Detected			
23300774_S11_L001	Brucella	centrifuge	1		1	Not_Detected			
23300774_S11_L001	Burkholderia	centrifuge	1		1	Not_Detected			
23300774_S11_L001	Caulobacter	centrifuge	77		6312	Not_Detected			
23300774_S11_L001	Chromobacterium	centrifuge	1		1	Not_Detected			
23300774_S11_L001	Chthonomonas	centrifuge	681		0	Detected			
23300774_S11_L001	Clostridium	centrifuge	2		0	Not_Detected			
23300774_S11_L001	Cupriavidus	centrifuge	1		0	Not_Detected			
23300774_S11_L001	Cyanobacterium	centrifuge	2		0	Not_Detected			
23300774_S11_L001	Deinococcus	centrifuge	26		1	Not_Detected			
23300774_S11_L001	Desulfosarcina	centrifuge	1		0	Not_Detected			
23300774_S11_L001	Desulfovibrio	centrifuge	1		0	Not_Detected			
23300774_S11_L001	Dickeya	centrifuge	1		14	Not_Detected			
23300774_S11_L001	Dissulfuribacter	centrifuge	1		1	Not_Detected			
23300774_S11_L001	Dolichospermum	centrifuge	2		0	Not_Detected			
23300774_S11_L001	Embleya	centrifuge	1		0	Not_Detected			
23300774_S11_L001	Enterobacter	centrifuge	1		2	Not_Detected			
23300774_S11_L001	Escherichia	centrifuge	1		1	Not_Detected			
23300774_S11_L001	Faucicola	centrifuge	422		0	Not_Detected			
23300774_S11_L001	Flavobacterium	centrifuge	1		0	Not_Detected			
23300774_S11_L001	Fontivita	centrifuge	66		0	Not_Detected			
23300774_S11_L001	Geitlerinema	centrifuge	3		0	Not_Detected			
23300774_S11_L001	Gloeobacter	centrifuge	7		10	Not_Detected			
23300774_S11_L001	Haliangium	centrifuge	1		0	Not_Detected			
23300774_S11_L001	Halomonas	centrifuge	2		0	Not_Detected			
23300774_S11_L001	Hymenobacter	centrifuge	1		0	Not_Detected			
23300774_S11_L001	Klebsiella	centrifuge	3		0	Not_Detected			
23300774_S11_L001	Koinonema	centrifuge	1		0	Not_Detected			
23300774_S11_L001	Latilactobacillus	centrifuge	1		0	Not_Detected			
23300774_S11_L001	Limnospira	centrifuge	2		0	Not_Detected			
23300774_S11_L001	Luteimonas	centrifuge	1		0	Not_Detected			
23300774_S11_L001	Lysobacter	centrifuge	1		0	Not_Detected			
23300774_S11_L001	Microbacterium	centrifuge	1		1	Not_Detected			
23300774_S11_L001	Microcystis	centrifuge	6		1	Not_Detected			
23300774_S11_L001	Moraxella	centrifuge	3		0	Not_Detected			
23300774_S11_L001	Morganella	centrifuge	1		172	Not_Detected			
23300774_S11_L001	Mycetohabitans	centrifuge	1		0	Not_Detected			
23300774_S11_L001	Mycoplasma	centrifuge	2		0	Not_Detected			
23300774_S11_L001	Mycoplasmopsis	centrifuge	4		3314	Not_Detected			
23300774_S11_L001	Nocardioides	centrifuge	1		0	Not_Detected			
23300774_S11_L001	Nostoc	centrifuge	2		0	Not_Detected			
23300774_S11_L001	Paracoccus	centrifuge	1		1	Not_Detected			
23300774_S11_L001	Paroceanicella	centrifuge	2		0	Not_Detected			
