sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
NTC1_DW_S2_L001	Orientia	alignment	4243	0.2255	1288	Probable	0	true	false
NTC1_DW_S2_L001	Rickettsia	alignment	416418	0.3226	127125	Probable	1	true	true
NTC1_DW_S2_L001	Abyssalbus	centrifuge	1		0	Not_Detected			
NTC1_DW_S2_L001	Acetivibrio	centrifuge	11		211	Not_Detected			
NTC1_DW_S2_L001	Acetobacteroides	centrifuge	3		0	Not_Detected			
NTC1_DW_S2_L001	Acidimicrobium	centrifuge	1		0	Not_Detected			
NTC1_DW_S2_L001	Aequoribacter	centrifuge	1		3	Not_Detected			
NTC1_DW_S2_L001	Aestuariibaculum	centrifuge	1		0	Not_Detected			
NTC1_DW_S2_L001	Agrococcus	centrifuge	2		0	Not_Detected			
NTC1_DW_S2_L001	Amycolatopsis	centrifuge	1		0	Not_Detected			
NTC1_DW_S2_L001	Aquiluna	centrifuge	120		0	Not_Detected			
NTC1_DW_S2_L001	Arthrobacter	centrifuge	1		0	Not_Detected			
NTC1_DW_S2_L001	Asticcacaulis	centrifuge	4		18	Not_Detected			
NTC1_DW_S2_L001	Athalassotoga	centrifuge	1		0	Not_Detected			
NTC1_DW_S2_L001	Bacillus	centrifuge	2		3	Not_Detected			
NTC1_DW_S2_L001	Bartonella	centrifuge	2		3	Not_Detected			
NTC1_DW_S2_L001	Bergeyella	centrifuge	3		0	Not_Detected			
NTC1_DW_S2_L001	Bifidobacterium	centrifuge	2		231	Not_Detected			
NTC1_DW_S2_L001	Bizionia	centrifuge	8		0	Not_Detected			
NTC1_DW_S2_L001	Brevundimonas	centrifuge	73749		97157	Not_Detected			
NTC1_DW_S2_L001	Burkholderia	centrifuge	2		1	Not_Detected			
NTC1_DW_S2_L001	Candidatus_Arcticimaribacter	centrifuge	1		0	Not_Detected			
NTC1_DW_S2_L001	Candidatus_Levibacter	centrifuge	5		14	Not_Detected			
NTC1_DW_S2_L001	Capnocytophaga	centrifuge	4		0	Not_Detected			
NTC1_DW_S2_L001	Caulobacter	centrifuge	3337		6312	Not_Detected			
NTC1_DW_S2_L001	Chryseobacterium	centrifuge	1		0	Not_Detected			
NTC1_DW_S2_L001	Cnuibacter	centrifuge	1		0	Not_Detected			
NTC1_DW_S2_L001	Cryobacterium	centrifuge	51		0	Not_Detected			
NTC1_DW_S2_L001	Curtobacterium	centrifuge	7		2	Not_Detected			
NTC1_DW_S2_L001	Cutibacterium	centrifuge	1		0	Not_Detected			
NTC1_DW_S2_L001	Dickeya	centrifuge	41		14	Not_Detected			
NTC1_DW_S2_L001	Enterobacter	centrifuge	3		2	Not_Detected			
NTC1_DW_S2_L001	Erysipelothrix	centrifuge	1		0	Not_Detected			
NTC1_DW_S2_L001	Flaviramulus	centrifuge	1		0	Not_Detected			
NTC1_DW_S2_L001	Flavivirga	centrifuge	5		0	Not_Detected			
NTC1_DW_S2_L001	Flavobacterium	centrifuge	325972		0	Detected			
