sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
NTC1_DW_S2_L001_2	Orientia	alignment	4243	0.2255	1288	Probable	0	true	false
NTC1_DW_S2_L001_2	Rickettsia	alignment	416418	0.3226	127125	Probable	1	true	true
NTC1_DW_S2_L001_2	Abyssalbus	centrifuge	1		0	Not_Detected			
NTC1_DW_S2_L001_2	Acetivibrio	centrifuge	11		211	Not_Detected			
NTC1_DW_S2_L001_2	Acetobacteroides	centrifuge	3		0	Not_Detected			
NTC1_DW_S2_L001_2	Acidimicrobium	centrifuge	1		0	Not_Detected			
NTC1_DW_S2_L001_2	Aequoribacter	centrifuge	1		3	Not_Detected			
NTC1_DW_S2_L001_2	Aestuariibaculum	centrifuge	1		0	Not_Detected			
NTC1_DW_S2_L001_2	Agrococcus	centrifuge	2		0	Not_Detected			
NTC1_DW_S2_L001_2	Amycolatopsis	centrifuge	1		0	Not_Detected			
NTC1_DW_S2_L001_2	Aquiluna	centrifuge	120		0	Not_Detected			
NTC1_DW_S2_L001_2	Arthrobacter	centrifuge	1		0	Not_Detected			
NTC1_DW_S2_L001_2	Asticcacaulis	centrifuge	4		18	Not_Detected			
NTC1_DW_S2_L001_2	Athalassotoga	centrifuge	1		0	Not_Detected			
NTC1_DW_S2_L001_2	Bacillus	centrifuge	2		3	Not_Detected			
NTC1_DW_S2_L001_2	Bartonella	centrifuge	2		3	Not_Detected			
NTC1_DW_S2_L001_2	Bergeyella	centrifuge	3		0	Not_Detected			
NTC1_DW_S2_L001_2	Bifidobacterium	centrifuge	2		231	Not_Detected			
NTC1_DW_S2_L001_2	Bizionia	centrifuge	8		0	Not_Detected			
NTC1_DW_S2_L001_2	Brevundimonas	centrifuge	73749		97157	Not_Detected			
NTC1_DW_S2_L001_2	Burkholderia	centrifuge	2		1	Not_Detected			
NTC1_DW_S2_L001_2	Candidatus_Arcticimaribacter	centrifuge	1		0	Not_Detected			
NTC1_DW_S2_L001_2	Candidatus_Levibacter	centrifuge	5		14	Not_Detected			
NTC1_DW_S2_L001_2	Capnocytophaga	centrifuge	4		0	Not_Detected			
NTC1_DW_S2_L001_2	Caulobacter	centrifuge	3337		6312	Not_Detected			
NTC1_DW_S2_L001_2	Chryseobacterium	centrifuge	1		0	Not_Detected			
NTC1_DW_S2_L001_2	Cnuibacter	centrifuge	1		0	Not_Detected			
NTC1_DW_S2_L001_2	Cryobacterium	centrifuge	51		0	Not_Detected			
