sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
NTC2_EB_S3_L001	Orientia	alignment	1288	0.2255	1288	Not_Confirmed	0	false	false
NTC2_EB_S3_L001	Rickettsia	alignment	127125	0.3226	127125	Not_Confirmed	0	false	true
NTC2_EB_S3_L001	Acetivibrio	centrifuge	211		211	Not_Detected			
NTC2_EB_S3_L001	Acinetobacter	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Actinospongiicola	centrifuge	3		3	Not_Detected			
NTC2_EB_S3_L001	Aequoribacter	centrifuge	3		3	Not_Detected			
NTC2_EB_S3_L001	Aestuariivirga	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Anderseniella	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Asticcacaulis	centrifuge	18		18	Not_Detected			
NTC2_EB_S3_L001	Aureimonas	centrifuge	4		4	Not_Detected			
NTC2_EB_S3_L001	Azorhizobium	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Bacillus	centrifuge	3		3	Not_Detected			
NTC2_EB_S3_L001	Bartonella	centrifuge	3		3	Not_Detected			
NTC2_EB_S3_L001	Bifidobacterium	centrifuge	231		231	Not_Detected			
NTC2_EB_S3_L001	Brevundimonas	centrifuge	97157		97157	Not_Detected			
NTC2_EB_S3_L001	Brucella	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Burkholderia	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Candidatus_Bandiella	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Candidatus_Chazhemtobacterium	centrifuge	39		39	Not_Detected			
NTC2_EB_S3_L001	Candidatus_Levibacter	centrifuge	14		14	Not_Detected			
NTC2_EB_S3_L001	Candidatus_Poriferisodalis	centrifuge	12		12	Not_Detected			
NTC2_EB_S3_L001	Candidatus_Portiera	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Caulobacter	centrifuge	6312		6312	Not_Detected			
NTC2_EB_S3_L001	Chelatococcus	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Chenggangzhangella	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Chromobacterium	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Comamonas	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Cryptobacterium	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Curtobacterium	centrifuge	2		2	Not_Detected			
NTC2_EB_S3_L001	Deinococcus	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Dickeya	centrifuge	14		14	Not_Detected			
NTC2_EB_S3_L001	Dissulfuribacter	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Ehrlichia	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Elioraea	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Enterobacter	centrifuge	2		2	Not_Detected			
NTC2_EB_S3_L001	Enterococcus	centrifuge	3		3	Not_Detected			
NTC2_EB_S3_L001	Escherichia	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Fimbriimonas	centrifuge	2		2	Not_Detected			
NTC2_EB_S3_L001	Fluviibacter	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Gemmobacter	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Gloeobacter	centrifuge	10		10	Not_Detected			
NTC2_EB_S3_L001	Gracilimonas	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Halodesulfovibrio	centrifuge	102		102	Not_Detected			
NTC2_EB_S3_L001	Komagataeibacter	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Methylacidiphilum_(ex_Ratnadevi_et_al._2023)	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Methylobacterium	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Methylocystis	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Microbacterium	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Microcystis	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Microvirga	centrifuge	2		2	Not_Detected			
NTC2_EB_S3_L001	Morganella	centrifuge	172		172	Not_Detected			
NTC2_EB_S3_L001	Mycolicibacterium	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Mycoplasmopsis	centrifuge	3314		3314	Not_Detected			
NTC2_EB_S3_L001	Neobacillus	centrifuge	5		5	Not_Detected			
NTC2_EB_S3_L001	Neorhizobium	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Nitratireductor	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Oecophyllibacter	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Paenibacillus	centrifuge	69		69	Not_Detected			
NTC2_EB_S3_L001	Paracidovorax	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Paracoccus	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Parascardovia	centrifuge	9		9	Not_Detected			
NTC2_EB_S3_L001	Peribacillus	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Phenylobacterium	centrifuge	147		147	Not_Detected			
NTC2_EB_S3_L001	Planktothrix	centrifuge	156		156	Not_Detected			
NTC2_EB_S3_L001	Prochlorococcus	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Providencia	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Pseudorhodoplanes	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Pyrodictium	centrifuge	15		15	Not_Detected			
NTC2_EB_S3_L001	Rohdeia	centrifuge	53		53	Not_Detected			
NTC2_EB_S3_L001	Roseibium	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Rossellomorea	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Rubrobacter	centrifuge	2		2	Not_Detected			
NTC2_EB_S3_L001	Rugositalea	centrifuge	2		2	Not_Detected			
NTC2_EB_S3_L001	Salmonella	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Shewanella	centrifuge	4		4	Not_Detected			
NTC2_EB_S3_L001	Siccibacter	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Sphingomonas	centrifuge	5		5	Not_Detected			
NTC2_EB_S3_L001	Staphylococcus	centrifuge	2		2	Not_Detected			
NTC2_EB_S3_L001	Stenotrophomonas	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Streptococcus	centrifuge	3		3	Not_Detected			
NTC2_EB_S3_L001	Streptomyces	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001	Succinivibrio	centrifuge	1		1	Not_Detected			
