sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
NTC2_EB_S3_L001_2	Orientia	alignment	1288	0.2255	1288	Not_Confirmed	0	false	false
NTC2_EB_S3_L001_2	Rickettsia	alignment	127125	0.3226	127125	Not_Confirmed	0	false	true
NTC2_EB_S3_L001_2	Acetivibrio	centrifuge	211		211	Not_Detected			
NTC2_EB_S3_L001_2	Acinetobacter	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001_2	Actinospongiicola	centrifuge	3		3	Not_Detected			
NTC2_EB_S3_L001_2	Aequoribacter	centrifuge	3		3	Not_Detected			
NTC2_EB_S3_L001_2	Aestuariivirga	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001_2	Anderseniella	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001_2	Asticcacaulis	centrifuge	18		18	Not_Detected			
NTC2_EB_S3_L001_2	Aureimonas	centrifuge	4		4	Not_Detected			
NTC2_EB_S3_L001_2	Azorhizobium	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001_2	Bacillus	centrifuge	3		3	Not_Detected			
NTC2_EB_S3_L001_2	Bartonella	centrifuge	3		3	Not_Detected			
NTC2_EB_S3_L001_2	Bifidobacterium	centrifuge	231		231	Not_Detected			
NTC2_EB_S3_L001_2	Brevundimonas	centrifuge	97157		97157	Not_Detected			
NTC2_EB_S3_L001_2	Brucella	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001_2	Burkholderia	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001_2	Candidatus_Bandiella	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001_2	Candidatus_Chazhemtobacterium	centrifuge	39		39	Not_Detected			
NTC2_EB_S3_L001_2	Candidatus_Levibacter	centrifuge	14		14	Not_Detected			
NTC2_EB_S3_L001_2	Candidatus_Poriferisodalis	centrifuge	12		12	Not_Detected			
NTC2_EB_S3_L001_2	Candidatus_Portiera	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001_2	Caulobacter	centrifuge	6312		6312	Not_Detected			
NTC2_EB_S3_L001_2	Chelatococcus	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001_2	Chenggangzhangella	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001_2	Chromobacterium	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001_2	Comamonas	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001_2	Cryptobacterium	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001_2	Curtobacterium	centrifuge	2		2	Not_Detected			
NTC2_EB_S3_L001_2	Deinococcus	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001_2	Dickeya	centrifuge	14		14	Not_Detected			
NTC2_EB_S3_L001_2	Dissulfuribacter	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001_2	Ehrlichia	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001_2	Elioraea	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001_2	Enterobacter	centrifuge	2		2	Not_Detected			
NTC2_EB_S3_L001_2	Enterococcus	centrifuge	3		3	Not_Detected			
NTC2_EB_S3_L001_2	Escherichia	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001_2	Fimbriimonas	centrifuge	2		2	Not_Detected			
NTC2_EB_S3_L001_2	Fluviibacter	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001_2	Gemmobacter	centrifuge	1		1	Not_Detected			
NTC2_EB_S3_L001_2	Gloeobacter	centrifuge	10		10	Not_Detected			
