sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
PC_S1_L001_2	Orientia	alignment	45746	0.2095	1288	Probable	0	true	false
PC_S1_L001_2	Rickettsia	alignment	93537	0.2102	127125	Not_Confirmed	0	false	false
PC_S1_L001_2	Aeribacillus	centrifuge	2		0	Not_Detected			
PC_S1_L001_2	Aeromonas	centrifuge	1		0	Not_Detected			
PC_S1_L001_2	Allobacillus	centrifuge	1		0	Not_Detected			
PC_S1_L001_2	Alteromonas	centrifuge	1		0	Not_Detected			
PC_S1_L001_2	Amphritea	centrifuge	3		0	Not_Detected			
PC_S1_L001_2	Anaerobacillus	centrifuge	2		0	Not_Detected			
PC_S1_L001_2	Aneurinibacillus	centrifuge	1		0	Not_Detected			
PC_S1_L001_2	Aquipseudomonas	centrifuge	1		0	Not_Detected			
PC_S1_L001_2	Atribacter	centrifuge	1		0	Not_Detected			
PC_S1_L001_2	Bacillus	centrifuge	40238		3	Detected			
PC_S1_L001_2	Biomaibacter	centrifuge	1		0	Not_Detected			
PC_S1_L001_2	Brevundimonas	centrifuge	1		97157	Not_Detected			
PC_S1_L001_2	Candidatus_Fukatsuia	centrifuge	1		0	Not_Detected			
PC_S1_L001_2	Candidatus_Reidiella	centrifuge	1		0	Not_Detected			
PC_S1_L001_2	Caproicibacterium	centrifuge	1		0	Not_Detected			
PC_S1_L001_2	Carnobacterium	centrifuge	1		0	Not_Detected			
PC_S1_L001_2	Cellvibrio	centrifuge	1		0	Not_Detected			
PC_S1_L001_2	Citrobacter	centrifuge	178		0	Not_Detected			
PC_S1_L001_2	Cronobacter	centrifuge	29		0	Not_Detected			
PC_S1_L001_2	Cytobacillus	centrifuge	7		0	Not_Detected			
PC_S1_L001_2	Desulfofarcimen	centrifuge	2		0	Not_Detected			
PC_S1_L001_2	Dialister	centrifuge	2		0	Not_Detected			
PC_S1_L001_2	Ectopseudomonas	centrifuge	1		0	Not_Detected			
PC_S1_L001_2	Enterobacter	centrifuge	87		2	Not_Detected			
PC_S1_L001_2	Enterococcus	centrifuge	18395		3	Detected			
PC_S1_L001_2	Erwinia	centrifuge	12		0	Not_Detected			
PC_S1_L001_2	Escherichia	centrifuge	7677		1	Detected			
PC_S1_L001_2	Falsibacillus	centrifuge	1		0	Not_Detected			
PC_S1_L001_2	Fimbriimonas	centrifuge	1		2	Not_Detected			
PC_S1_L001_2	Floricoccus	centrifuge	2		0	Not_Detected			
PC_S1_L001_2	Franconibacter	centrifuge	7		0	Not_Detected			
PC_S1_L001_2	Furfurilactobacillus	centrifuge	4		0	Not_Detected			
PC_S1_L001_2	Gemella	centrifuge	1		0	Not_Detected			
PC_S1_L001_2	Geopseudomonas	centrifuge	1		0	Not_Detected			
PC_S1_L001_2	Gracilimonas	centrifuge	1		1	Not_Detected			
PC_S1_L001_2	Guptibacillus	centrifuge	4		0	Not_Detected			
PC_S1_L001_2	Halalkalibacter	centrifuge	11		0	Not_Detected			
PC_S1_L001_2	Halobacillus	centrifuge	1		0	Not_Detected			
PC_S1_L001_2	Heyndrickxia	centrifuge	1		0	Not_Detected			
PC_S1_L001_2	Jeotgalicoccus	centrifuge	1		0	Not_Detected			
PC_S1_L001_2	Klebsiella	centrifuge	61		0	Not_Detected			
PC_S1_L001_2	Kosakonia	centrifuge	4		0	Not_Detected			
PC_S1_L001_2	Lactobacillus	centrifuge	3		0	Not_Detected			
