sample_id	sample_type	mode	classifier_mode	r1_fastq	r2_fastq	expected_taxon	expected_taxa	use_human_scrub
09000468_S8	clinical	routine	single	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/09000468_S8_L001_R1_001.fastq.gz	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/09000468_S8_L001_R2_001.fastq.gz			true
09300438_S7	clinical	routine	single	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/09300438_S7_L001_R1_001.fastq.gz	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/09300438_S7_L001_R2_001.fastq.gz			true
11400167_S10	clinical	routine	single	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/11400167_S10_L001_R1_001.fastq.gz	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/11400167_S10_L001_R2_001.fastq.gz			true
14600037_S1	clinical	routine	single	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/14600037_S1_L001_R1_001.fastq.gz	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/14600037_S1_L001_R2_001.fastq.gz			true
15000105_S2	clinical	routine	single	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/15000105_S2_L001_R1_001.fastq.gz	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/15000105_S2_L001_R2_001.fastq.gz			true
15800154_S5	clinical	routine	single	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/15800154_S5_L001_R1_001.fastq.gz	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/15800154_S5_L001_R2_001.fastq.gz			true
21500105_S3	clinical	routine	single	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/21500105_S3_L001_R1_001.fastq.gz	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/21500105_S3_L001_R2_001.fastq.gz			true
24200043_S6	clinical	routine	single	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/24200043_S6_L001_R1_001.fastq.gz	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/24200043_S6_L001_R2_001.fastq.gz			true
25500116_S4	clinical	routine	single	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/25500116_S4_L001_R1_001.fastq.gz	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/25500116_S4_L001_R2_001.fastq.gz			true
25700177_S9	clinical	routine	single	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/25700177_S9_L001_R1_001.fastq.gz	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/25700177_S9_L001_R2_001.fastq.gz			true
NTC_S11	NTC	routine	single	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/NTC_S11_L001_R1_001.fastq.gz	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/NTC_S11_L001_R2_001.fastq.gz			true
PC_S12	PC_MIX8	routine	single	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/PC_S12_L001_R1_001.fastq.gz	gs://fc-80712e02-4823-47c2-bdea-80127f018355/uploads/16S_afi_unknown_1/PC_S12_L001_R2_001.fastq.gz			true
